;translation table;;Note / English / adi220_normal / approved;English / adi220_normal / approved;;;Locked / English / adi220_normal / approved;#Modified / English / adi220_normal / approved;German / adi220_normal / approved;;;Locked / German / adi220_normal / approved;#Modified / German / adi220_normal / approved;Czech / adi220_normal / approved;;;Locked / Czech / adi220_normal / approved;#Modified / Czech / adi220_normal / approved;French / adi220_normal / approved;;;Locked / French / adi220_normal / approved;#Modified / French / adi220_normal / approved;Italian / adi220_normal / approved;;;Locked / Italian / adi220_normal / approved;#Modified / Italian / adi220_normal / approved;Portuguese / adi220_normal / approved;;;Locked / Portuguese / adi220_normal / approved;#Modified / Portuguese / adi220_normal / approved;Spanish / adi220_normal / approved;;;Locked / Spanish / adi220_normal / approved;#Modified / Spanish / adi220_normal / approved;Locked / adi220_normal;Layout / adi220_normal;Status / adi220_normal;Comment / adi220_normal;Function;Coordinator;#File;Comment;Status;;
gültig?;Bezeichner;;Screen-Nr.:;English;Display;Überlänge;;;German;Display;Überlänge;;;Czech;Display;Überlänge;;;French;Display;Überlänge;;;Italian;Display;Überlänge;;;Portuguese;Display;Überlänge;;;Spanish;Display;Überlänge;;;;Layout;;;;;;;;Russian;CAN-
;Bezeichner;;Screen-Nr.:;US-English;Display;Überlänge;;;German;Display;Überlänge;;;Russian;Display;Überlänge;;;CAN-French;MISSING LAYOUT !;X;;;Dutch;Display;Überlänge;;;;MISSING LAYOUT !;X;;;Mex-Spanish;MISSING LAYOUT !;X;;;;Layout;;;;;;;;;
;qtn_stp_ta_checkbox_save_pin;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_enter_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_user_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;;;S710;Unable to copy recording;"Unable to copy
recording";0;;;Kopieren der\nAufnahme\nfehlgeschlagen;"Kopieren der
Aufnahme
fehlgeschlagen";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;3_Zeile;;;;;;;
;;;S717;Unable to copy recordings;"Unable to copy
recordings";0;;;Kopieren der\nAufnahmen\nfehlgeschlagen;"Kopieren der
Aufnahmen
fehlgeschlagen";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;3_Zeile;;;;;;;
;qtn_stp_ta_note_vcal_not_saved;;S994;Unable to copy calendar note;"Unable to copy
calendar note";0;Not locked;24.01.2006 11:21;Kopieren des\nKalendereintrags fehlgeschlagen;"Kopieren des
Kalendereintrags
 fehlgeschlagen";0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;No se ha copiado la entrada del calendario;"No se ha
copiado la
entrada del
calendario";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_copy_not_poss;;S414;Unable to copy, loading phone book;"Unable to copy,
loading phone
book";0;Not locked;24.01.2006 11:20;Kopieren\nnicht möglich,\nTelefonbuch\nwird geladen;"Kopieren
nicht möglich,
Telefonbuch
wird geladen";0;Not locked;10.08.2005 14:57;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;No se puede copiar. Cargando la guía.;"No se puede
copiar. Cargando
la guía.";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_head_speed_dial;;S112;Speed dial;Speed dial;0;Not locked;24.01.2006 11:20;Kurzwahl;Kurzwahl;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Marc. rápida;Marc. rápida;0;Not locked;09.02.2005 12:21;Not locked;1_Zeile;;;;;;;
;qtn_stp_ta_note_sp_dial_saved;;S113;Speed dial\nstored;"Speed dial
stored";0;Not locked;24.01.2006 11:17;Kurzwahl\ngespeichert;"Kurzwahl
gespeichert";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;Marcación rápida memorizada;"Marcación rápida
memorizada";0;Not locked;26.08.2005 15:29;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_err_load_phonebook;S927;S927;Unable to load phone book;"Unable to load
phone book";0;Not locked;24.01.2006 11:19;Laden des Telefonbuchs fehlgeschlagen;"Laden des
Telefonbuchs
fehlgeschlagen";0;Not locked;09.02.2005 12:12;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Imposible cargar lista de contactos;"Imposible cargar
lista de
contactos";0;Not locked;09.02.2005 12:19;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_volume_up;;S643;Turn vol. up;Turn vol. up;0;Not locked;24.01.2006 11:21;Lauter;Lauter;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;Más alto;Más alto;0;Not locked;09.02.2005 12:22;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_silent;S901;S901;Silent;Silent;0;Not locked;24.01.2006 11:22;Lautlos;Lautlos;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Silencio;Silencio;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_setting_volume;;S641;Volume;Volume;0;Not locked;24.01.2006 11:23;Lautstärke;Lautstärke;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Volumen;Volumen;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_head_volume;;S643;Volume:;Volume:;0;Not locked;24.01.2006 11:22;Lautstärke:;Lautstärke:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Volumen;Volumen;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_sms_blank;;S443;Empty display;Empty display;0;Not locked;24.01.2006 11:19;Leere Anzeige;Leere Anzeige;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Pantalla vacía;Pantalla vacía;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_volume_down;;S643;Turn vol. down;Turn vol. down;0;Not locked;24.01.2006 11:23;Leiser;Leiser;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;Más bajo;Más bajo;0;Not locked;09.02.2005 12:22;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_sms_read;;S405;Read;Read;0;Not locked;24.01.2006 11:19;Zeigen;Zeigen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Leer;Leer;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_stack_dialled;S201;S201;Recent calls;Recent calls;0;Not locked;24.01.2006 11:22;Letzte Anrufe;Letzte Anrufe;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;Últim. llamadas;Últim. llamadas;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_stack_clear;S201;S201;Delete lists;Delete lists;0;Not locked;24.01.2006 11:24;Listen löschen;Listen löschen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Borrar listas;Borrar listas;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_menu_delete;S571;S981, S991;Delete;Delete;0;Not locked;26.10.2004 16:40;Löschen;Löschen;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Borrar;Borrar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_sms_not_deleted;S428;S428;Unable to delete message;"Unable to delete
message";0;Not locked;24.01.2006 11:19;Löschen der Mitteilung fehlgeschlagen;"Löschen der
Mitteilung
fehlgeschlagen";0;Not locked;31.01.2005 18:02;;EMPTY !;X;Not locked;09.02.2005 13:23;;EMPTY !;X;Not locked;09.02.2005 13:23;;EMPTY !;X;Not locked;09.02.2005 13:23;;EMPTY !;X;Not locked;09.02.2005 13:23;Imposible borrar mensaje;"Imposible borrar
mensaje";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;SC04;SC04;Unable to delete. Phone is active.;"Unable to
delete. Phone is
active.";0;;;Löschen nicht\nmöglich, von\nBenutzer als\nTel. benutzt;"Löschen nicht
möglich, von
Benutzer als
Tel. benutzt";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;"No es posible
borrar, El telefono
esta activo";"No es posible
borrar, El
telefono
esta activo";0;;;;4_Zeile;;;;;;;
1;qtn_stp_ta_query_del_device;S576;S576;Delete?;Delete?;0;Not locked;24.01.2006 11:18;löschen?;löschen?;0;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;¿Borrar?;¿Borrar?;0;Not locked;26.08.2005 15:29;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_query_delete_user;S513;S513;Delete?;Delete?;0;Not locked;24.01.2006 11:23;Löschen?;Löschen?;0;Not locked;17.03.2005 14:53;;EMPTY !;X;Not locked;17.03.2005 14:53;;EMPTY !;X;Not locked;17.03.2005 14:53;;EMPTY !;X;Not locked;17.03.2005 14:53;;EMPTY !;X;Not locked;17.03.2005 14:53;¿Borrar %U?;¿Borrar %U?;0;Not locked;17.03.2005 14:53;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_swap;S902;S902;Swap;Swap;0;Not locked;24.01.2006 11:20;Makeln;Makeln;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Cambiar a llam. retenida;"Cambiar a llam.
retenida";54;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_menu_swap;;;Swap;Swap;0;Not locked;30.07.2002 17:13;Makeln;Makeln;0;Not locked;11.10.2002 16:10;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;20.12.2002 14:15;;EMPTY !;X;Not locked;10.06.2002 14:40;A llam. retenida;A llam. retenida;0;Not locked;10.06.2002 14:41;Not locked;Auswahl;Approved;§Choice item: to switch to the call on hold;STP;Voellinger Stefanie;;Created for Seti;Proposed
;qtn_stp_ta_net_manual;;S622;Manual;Manual;0;Not locked;24.01.2006 11:24;Manuell;Manuell;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Manual;Manual;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_menu_net_manual;;S921;Manual search;Manual search;0;Not locked;24.01.2006 11:18;Manuelle Suche;Manuelle Suche;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Búsqueda man.;Búsqueda man.;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_max_chars;;S952;Too many characters;"Too many
characters";0;Not locked;24.01.2006 11:21;Maximale Zeichenanzahl erreicht;"Maximale
Zeichenanzahl
erreicht";0;Not locked;06.09.2004 16:22;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Límite máximo de caracteres alcanzado;"Límite máximo
de caracteres
alcanzado";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
1;;"S002; S502";S002, S502;Media player;Media player;0;;;Media Player;Media Player;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Repr multimedia;Repr multimedia;0;;;;Auswahl;;;;;;;
1;;SC03;SC03;Media player;Media player;0;;;Media Player;Media Player;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Repr. multimedia;Repr. multimedia;0;;;;1_Zeile;;;;;;;
1;qtn_stp_ta_main_menu;S101;S101;MENU;MENU;0;Not locked;11.10.2002 16:14;MENÜ;MENÜ;0;Not locked;11.10.2002 16:14;;EMPTY !;X;Not locked;06.12.2002 12:29;;EMPTY !;X;Not locked;06.12.2002 12:32;;EMPTY !;X;Not locked;06.12.2002 12:35;;EMPTY !;X;Not locked;06.12.2002 13:17;MENÚ;MENÚ;0;Not locked;06.12.2002 13:20;Not locked;1_Zeile;Approved;2002-11-28: New text. Please translate§Main menu: to go to the car's phone feature;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;qtn_stp_ta_call_micro_off;"S803; S812; 
S815; SC24";"S803; S812; S815; SC24";Microphone off;Microphone off;0;Not locked;08.11.2005 16:32;Mikrofon aus;Mikrofon aus;0;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;Micrófono desc.;Micrófono desc.;0;Not locked;08.11.2005 16:32;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_micro_on;"S803; S812; 
S815; SC24";"S803; S812; S815; SC24";Microphone on;Microphone on;0;Not locked;08.11.2005 16:32;Mikrofon ein;Mikrofon ein;0;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;;EMPTY !;X;Not locked;08.11.2005 16:32;Micrófono con.;Micrófono con.;0;Not locked;08.11.2005 16:32;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_head_sms;S405;S405;Message;Message;0;Not locked;24.01.2006 11:22;Mitteilung;Mitteilung;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 13:23;Mensaje;Mensaje;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_sim_copied;;S415;Message copied to phone\n(SIM card);"Message copied
to phone
(SIM card)";0;;;Mitteilung\nauf Mobiltelefon\nkopiert\n(SIM-Karte);"Mitteilung
auf Mobiltelefon
kopiert
(SIM-Karte)";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Mensaje copiado en el teléfono (tarjeta SIM);"Mensaje copiado
en el teléfono
(tarjeta SIM)";0;;;;4_Zeile;;;;;;;
;qtn_stp_ta_note_mem_copied;;S416;Message copied to phone\n(phone memory);"Message copied
to phone
(phone
memory)";0;;;Mitteilung\nauf Mobiltelefon\nkopiert\n(Tel.-Speicher);"Mitteilung
auf Mobiltelefon
kopiert
(Tel.-Speicher)";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Mensaje copiado en el teléfono (memoria del teléfono);"Mensaje copiado
en el teléfono
(memoria del
teléfono)";0;;;;4_Zeile;;;;;;;
1;qtn_stp_ta_note_sms_deleted;S425;S425;Message\ndeleted;"Message
deleted";0;Not locked;24.01.2006 11:20;Mitteilung gelöscht;"Mitteilung
gelöscht";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Mensaje\nborrado;"Mensaje
borrado";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_sms_sent;;S433;Message\nsent;"Message
sent";0;Not locked;24.01.2006 11:23;Mitteilung gesendet;"Mitteilung
gesendet";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Mensaje no enviado;"Mensaje no
enviado";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_sms_saved;;S423;Message\nsaved;"Message
saved";0;Not locked;24.01.2006 11:19;Mitteilung gespeichert;"Mitteilung
gespeichert";0;Not locked;26.10.2004 16:40;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Mensaje memorizado;"Mensaje
memorizado";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_sms_no_read;S409;S409;Message cannot be shown;"Message cannot
be shown";0;Not locked;24.01.2006 11:19;Mitteilung kann\nnicht angezeigt\nwerden;"Mitteilung kann
nicht angezeigt
werden";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;No se puede mostrar el mensaje;"No se puede
mostrar el
mensaje";0;Not locked;09.02.2005 12:21;Not locked;3_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_query_delete_sms;S413;S413;Delete message?;Delete message?;0;Not locked;24.01.2006 11:17;Mitteilung\nlöschen?;"Mitteilung
löschen?";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;¿Borrar mensaje?;"¿Borrar
mensaje?";0;Not locked;09.02.2005 12:21;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_sms_not_sent;;S434;Message not sent;"Message not
sent";0;Not locked;24.01.2006 11:18;Mitteilung nicht gesendet;"Mitteilung nicht
gesendet";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Mensaje no enviado;"Mensaje no
enviado";0;Not locked;09.02.2005 13:23;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_head_sms_from;S405;S405;Message from;Message from;0;Not locked;24.01.2006 11:21;Mitteilung von;Mitteilung von;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Mensaje de;Mensaje de;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_sending_sms;;S432;Sending message ...;"Sending
message ...";0;Not locked;24.01.2006 11:23;Mitteilung wird gesendet;"Mitteilung wird
gesendet";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;24.01.2006 11:19;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;24.01.2006 11:21;;EMPTY !;X;Not locked;09.02.2005 12:20;Enviando mensaje...;"Enviando
mensaje...";0;Not locked;24.01.2006 11:19;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;SC14;SC14;Reading out message...;"Reading out
message...";0;;;Mitteilung\nwird\nvorgelesen;"Mitteilung
wird
vorgelesen";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Se reproduce el mensaje;"Se reproduce el
mensaje";0;;;;3_Zeile;;;;;;;
;qtn_stp_ta_note_sms_copied;;S412;Message copied to phone;"Message copied
to phone";0;Not locked;24.01.2006 11:23;Mitteilung\nauf Mobiltelefon\nkopiert;"Mitteilung
auf Mobiltelefon
kopiert";0;Not locked;04.07.2005 13:36;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Mensaje copiado en el teléfono;"Mensaje copiado
en el teléfono";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_main_messages;S101;S101;Messages;Messages;0;Not locked;24.01.2006 11:18;Mitteilungen;Mitteilungen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;Mensajes;Mensajes;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_head_messages;S404;S404;Messages;Messages;0;Not locked;24.01.2006 11:18;Mitteilungen;Mitteilungen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;Mensajes;Mensajes;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;;;;;;;
;qtn_stp_ta_sms_memory_full;;S926;Message memory full;"Message
memory full";0;Not locked;24.01.2006 11:22;Mitteilungs-\nspeicher voll;"Mitteilungs-
speicher voll";0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Memoria de mensajes llena;"Memoria de
mensajes llena";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_pb_mobile;;S662;Mobile phone;Mobile phone;0;Not locked;24.01.2006 11:23;Mobiltelefon;Mobiltelefon;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Teléfono móvil;Teléfono móvil;0;Not locked;09.02.2005 13:23;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_no_rsap;S599;S599;Cell phone\nis not\ncompatible;"Cell phone
is not
compatible";0;;;Mobiltelefon\nist nicht\nkompatibel;"Mobiltelefon
ist nicht
kompatibel";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Teléfono móvil no compatible;"Teléfono móvil
no compatible";0;;;;3_Zeile;;;;;;;
